,City,Cloudiness,Humidity,Latitude,Longitude,Max Temp,Wind Speed
480,Mount gambier,90,100,-37.83,140.77,46.4,3.36
481,Easton,90,70,40.69,-75.22,46.4,16.11
482,Alofi,43,100,-19.06,-169.92,69.8,1.12
483,Annau,90,46,37.89,58.52,53.6,2.24
484,New panay,87,73,6.76,124.59,74.73,0.43
485,Airai,97,69,-8.93,125.41,61.86,1.54
486,Shellbrook,100,93,53.22,-106.4,23.38,6.06
487,Shenzhen,99,99,22.55,114.07,73.99,7.11
488,Rio bravo,5,55,25.98,-98.1,86.0,5.82
489,Sabzevar,62,44,36.21,57.68,51.67,6.38
490,Dunedin,71,89,-45.87,170.5,51.01,1.01
491,Bairiki,75,83,1.33,172.98,82.4,10.29
492,Misratah,27,69,32.38,15.09,64.35,21.36
493,Rundu,20,78,-17.93,19.77,75.2,2.24
494,Paris,5,34,48.85,2.35,50.0,10.29
495,Barkot,73,26,30.82,78.2,53.26,6.13
496,Sinnamary,78,72,5.38,-52.95,81.39,11.97
497,Pandan,8,74,14.05,124.17,79.92,13.31
498,Sola,91,74,-13.88,167.55,83.28,8.61
499,Suba,0,78,10.84,121.01,81.37,21.77
500,Port moresby,100,83,-9.44,147.18,76.48,3.27
501,Borgarnes,98,82,64.54,-21.92,36.43,16.51
502,Halifax,75,36,44.65,-63.57,46.99,10.29
503,Kodinsk,99,95,58.69,99.18,16.43,4.07
504,Shaunavon,100,81,49.65,-108.42,24.21,3.91
505,Fort nelson,40,76,58.81,-122.7,32.0,8.05
506,Solnechnyy,13,94,50.72,136.63,24.08,0.98
507,North platte,1,28,41.12,-100.77,69.8,11.41
508,Bekasi,100,81,-6.23,106.99,80.37,1.39
509,Vanavara,98,93,60.34,102.28,9.79,2.57
510,Santa luzia,75,53,-19.77,-43.85,80.6,6.93
511,Murici,84,68,-9.31,-35.94,84.69,7.72
512,Chernyshevskiy,79,88,63.01,112.47,-5.48,1.43
513,Lamar,1,69,33.67,-95.58,79.0,12.75
514,San juan,100,56,-31.54,-68.54,63.91,19.71
515,Axim,88,77,4.87,-2.24,81.99,9.53
516,Rafai,100,42,4.95,23.92,80.98,3.06
517,Saint-pierre,32,83,-21.34,55.48,77.0,4.7
518,Sasykoli,47,52,47.55,47.0,48.34,8.93
519,Vanderhoof,6,77,54.02,-124.02,29.52,2.75
520,Roebourne,11,44,-20.78,117.13,88.77,12.08
521,Chiredzi,26,38,-21.05,31.67,81.84,5.32
522,Aurillac,52,39,44.92,2.45,48.2,10.29
523,Arawa,57,75,-6.21,155.54,78.78,2.46
524,Mehamn,75,74,71.04,27.85,33.8,28.86
525,Dhidhdhoo,90,64,6.88,73.1,83.12,1.43
526,Borsa,66,83,47.66,24.66,25.05,5.75
527,Salym,100,95,60.06,71.48,31.82,11.9
528,Hvide sande,12,66,56.0,8.13,41.47,10.71
529,Manoharpur,100,34,27.3,75.95,75.52,3.6
530,Barinitas,75,34,8.76,-70.41,89.78,3.69
531,Pierre,90,79,44.37,-100.35,34.0,12.75
532,Leh,93,26,34.17,77.58,20.89,7.47
533,Manyana,81,25,-23.4,21.72,79.27,3.09
534,Morondava,2,82,-20.28,44.28,80.96,8.5
535,Kununurra,99,74,-15.77,128.73,80.6,5.82
536,Matay,94,27,28.42,30.78,73.06,18.59
537,Tiarei,42,69,-17.53,-149.33,82.04,6.64
538,Unity,93,91,52.45,-109.17,20.8,5.01
539,Plastun,7,77,44.76,136.29,37.35,6.06
540,Severnyy,0,34,50.68,36.55,37.4,4.47
541,Constantine,40,86,36.37,6.61,37.4,9.17
542,Tabou,32,77,4.42,-7.35,81.32,7.47
543,Piedras negras,5,48,28.7,-100.52,87.8,11.41
544,Umba,100,94,66.69,34.34,34.25,15.03
545,Aktau,53,44,43.65,51.2,52.48,5.75
546,Innisfail,100,90,-17.53,146.03,75.11,7.43
547,Richards bay,9,84,-28.78,32.04,76.35,15.23
548,Lieksa,98,73,63.32,30.02,40.3,14.58
549,Rupert,75,52,42.62,-113.68,42.8,13.87
550,Vila velha,75,73,-20.33,-40.29,78.01,11.41
551,Ambovombe,65,80,-25.17,46.08,76.19,11.41
552,San carlos,65,25,9.66,-68.58,104.2,1.03
553,Yamada,0,81,39.47,141.95,36.37,6.76
554,Toora-khem,100,84,52.47,96.11,9.3,2.44
555,Pochutla,0,49,15.74,-96.47,88.16,8.46
556,Mandal,100,42,25.45,74.57,75.04,7.4
557,Jatibarang,99,82,-6.47,108.32,79.43,3.15
558,San antonio,1,65,29.42,-98.49,84.99,8.05
559,Antofagasta,32,49,-23.65,-70.4,72.0,10.6
560,Aklavik,90,72,68.22,-135.01,17.6,10.29
561,Atambua,97,79,-9.11,124.89,74.37,2.59
562,Lekoni,52,62,-1.58,14.26,79.54,5.35
563,Flin flon,90,57,54.77,-101.86,19.4,6.93
564,Ingleside,7,69,27.88,-97.21,82.99,12.75
565,Olhao,20,82,37.03,-7.84,60.8,4.7
566,Chiang khong,5,40,20.26,100.4,72.45,0.83
567,Bosaso,56,72,11.28,49.18,81.91,8.5
568,Uglich,16,76,57.53,38.33,35.69,11.34
569,Bilma,0,13,18.69,12.92,91.04,8.14
570,Warah,77,21,27.45,67.8,80.26,1.32
571,Pinega,100,95,64.7,43.39,34.36,14.41
